COD_ITEM        Cont04	Cont08	Cont12	Cont16	Cont26	Cont52	ContAno	ContTt      Total Geral         Metodo     MetEst       Md04    Md08      Md12        Md16          Md26         Md52       MdAno       MdTt          Máximo       TP_Metodo              Metodo      MetEst       Estoque    Reposição      Fx_Giro                                       Giro                                                                                        
302.008.001     4	     8	    12	    16	    26	    52	    50	    118         155.748             1.395      22.320       1.215   1.110     1.215       1.157         1.333        1.380      1.395       1.350         2.100        1.ORDINÁRIOS           1.395       22.320       24.275     0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                                                 
008.001.001     4	     8	    12	    16	    26	    52	    50	    117         18.660              193        3.088        193     165       150         145           150          150        150         150           405          1.ORDINÁRIOS           193         3.088        1.240      1.848          D.ATÉ DOIS MESES DE ESTOQUE                   6,0                                                                                                       
325.003.001     0	     0	    0	    0	    1	    3	    3	    12          24                  0          0            0       0         0           0             1            1          1           1             8            3.INATIVOS             0           0            18         0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
002.000.012     4	     8	    12	    16	    26	    52	    50	    118         22.310              225        3.600        225     195       170         150           195          205        205         165           480          1.ORDINÁRIOS           225         3.600        3.250      350            F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                                       
005.000.100     4	     8	    12	    16	    26	    52	    50	    118         37.231              365        5.840        335     365       340         365           365          335        325         300           680          1.ORDINÁRIOS           365         5.840        4.320      1.520          E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                                       
002.000.045     4	     8	    12	    16	    26	    52	    50	    118         24.535              278        4.448        210     278       263         269           261          202        214         193           480          1.ORDINÁRIOS           278         4.448        4.129      319            F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                                       
022.001.009     3	     5	    8	    12	    20	    31	    31	    52          1.842               30         480          15      15        15          15            23           30         30          30            130          1.ORDINÁRIOS           30          480          515        0              G.ATÉ DOZE MESES DE ESTOQUE                   17,0                                                                                          
005.000.020     4	     8	    12	    16	    26	    52	    50	    118         46.402              395        6.320        290     335       355         395           355          320        330         340           940          1.ORDINÁRIOS           395         6.320        7.810      0              G.ATÉ DOZE MESES DE ESTOQUE                   20,0                                                                                                   
005.000.022     4	     8	    12	    16	    26	    52	    50	    118         2.337               22         352          22      22        22          22            22           22         22          19            39           1.ORDINÁRIOS           22          352          298        54             F.ATÉ QUATRO MESES DE ESTOQUE                 14,0                                                                                            
005.000.015     4	     8	    12	    16	    26	    52	    50	    118         258.687             2.187      34.992       1.986   1.986     2.076       2.076         2.098        2.121      2.121       2.187         3.450        1.ORDINÁRIOS           2.187       34.992       28.277     6.715          F.ATÉ QUATRO MESES DE ESTOQUE                 13,0                                                                                                                       
005.000.014     4	     8	    12	    16	    26	    52	    50	    117         19.421              235        3.760        235     195       195         220           180          180        180         150           390          1.ORDINÁRIOS           235         3.760        3.870      0              F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                     
005.000.004     3	     7	    11	    14	    23	    46	    44	    105         11.831              180        2.880        180     180       180         155           120          120        120         90            390          1.ORDINÁRIOS           180         2.880        2.180      700            E.ATÉ TRÊS MESES DE ESTOQUE                   12,0                                                                                                    
021.001.025     4	     8	    12	    16	    26	    49	    47	    111         12.698              163        2.608        163     133       133         133           115          120        120         90            430          1.ORDINÁRIOS           163         2.608        2.595      13             F.ATÉ QUATRO MESES DE ESTOQUE                 16,0                                                                                                     
011.001.004     0	     0	    0	    0	    2	    5	    4	    21          40                  0          0            0       0         0           0             1            1          2           1             6            3.INATIVOS             0           0            10         0              I.INATIVOS COM ESTOQUE                        0,0                                                                            
021.001.071     1	     2	    2	    2	    3	    15	    13	    40          87                  2          32           5       4         4           4             3            2          2           2             5            2.INTERMITENTES        2           32           21         11             E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                     
002.000.135     2	     5	    7	    9	    11	    21	    20	    32          157                 3          48           5       4         4           4             3            3          3           3             21           2.INTERMITENTES        3           48           32         16             E.ATÉ TRÊS MESES DE ESTOQUE                   11,0                                                                                      
313.001.002     1	     3	    7	    10	    15	    31	    31	    74          281                 10         160          10      10        2           3             2            2          2           3             12           1.ORDINÁRIOS           10          160          11         149            C.ATÉ UM MÊS DE ESTOQUE                       1,0                                                                                  
010.001.005     0	     0	    0	    0	    0	    3	    3	    30          63                  0          0            0       0         0           0             0            1          1           1             9            3.INATIVOS             0           0            0          0              A.ZERADOS INATIVOS                            0,0                                                                        
002.000.013     4	     8	    12	    16	    26	    52	    50	    118         5.327               43         688          38      35        38          39            38           40         40          43            112          1.ORDINÁRIOS           43          688          659        29             F.ATÉ QUATRO MESES DE ESTOQUE                 15,0                                                                                             
